City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,minas de marcona,-15.2119,-75.1103,10.68,87,7,5.87,PE,1722903044
118,wailua homesteads,22.0669,-159.378,28.44,71,20,5.66,US,1722903046
119,egilsstadir,65.2653,-14.3948,7.95,100,100,2.06,IS,1722903047
120,berezovyy,51.6667,135.7,25.8,70,100,1.95,RU,1722903048
121,badger,64.8,-147.5333,30.55,33,20,4.12,US,1722903050
122,la ligua,-32.4524,-71.2311,10.66,96,100,1.01,CL,1722903051
123,ljusdal,61.8288,16.0913,13.59,93,22,0.6,SE,1722903053
124,khandyga,62.6667,135.6,11.03,92,100,2.9,RU,1722903054
125,tura,25.5198,90.2201,24.02,99,100,1.89,IN,1722903055
126,conde,-7.2597,-34.9075,21.89,84,22,4.17,BR,1722903057
127,ancud,-41.8697,-73.8203,7.96,81,100,6.55,CL,1722903058
128,stanley,54.868,-1.6985,19.18,85,20,4.12,GB,1722902764
129,akureyri,65.6835,-18.0878,10.15,96,100,1.33,IS,1722903060
130,maxixe,-23.8597,35.3472,20.17,68,30,5.2,MZ,1722903061
131,la'ie,21.6477,-157.9253,30.98,73,84,4.92,US,1722903065
132,xinqing,48.2333,129.5,26.07,74,85,1.95,CN,1722903066
133,lata,40.1629,-8.3327,18.93,98,4,1.16,PT,1722903067
134,frontera,26.9333,-101.45,34.94,33,0,2.68,MX,1722903068
135,kiruna,67.8557,20.2251,9.51,87,84,3.09,SE,1722903069
136,enewetak,11.3474,162.3373,28.96,72,76,3.54,MH,1722903070
137,hithadhoo,-0.6,73.0833,28.24,75,100,1.87,MV,1722903072
138,floro,61.5996,5.0328,17.04,77,100,4.12,NO,1722903073
139,severodvinsk,64.5635,39.8302,11.06,79,40,2.97,RU,1722903074
140,tolanaro,-25.0319,46.9987,18.21,80,13,2.52,MG,1722903075
141,georgetown,5.4112,100.3354,25.96,78,40,3.6,MY,1722903002
142,sant lluis,39.8526,4.2594,25.22,88,0,2.06,ES,1722903078
143,itamaraca,-7.7478,-34.8256,23.86,76,21,4.92,BR,1722903079
144,kokopo,-4.352,152.2633,28.85,71,90,4.87,PG,1722903080
145,lompoc,34.6391,-120.4579,24.21,72,0,6.17,US,1722902796
146,uliastay,47.7417,96.8444,16.43,40,65,1.87,MN,1722903082
147,bredasdorp,-34.5322,20.0403,7.54,85,0,3.55,ZA,1722903084
148,hermanus,-34.4187,19.2345,11.0,78,8,5.51,ZA,1722903086
149,hotan,37.0997,79.9269,27.72,32,56,1.86,CN,1722903087
150,touros,-5.1989,-35.4608,23.38,80,57,6.1,BR,1722903058
151,san andres,12.5847,-81.7006,30.01,79,20,4.12,CO,1722903089
152,latakia,35.5148,35.7768,28.13,69,0,5.2,SY,1722903090
153,iskateley,67.6803,53.1512,4.23,83,6,4.15,RU,1722903091
154,carutapera,-1.195,-46.02,25.84,80,23,3.94,BR,1722903092
155,fale old settlement,-9.3852,-171.2468,27.91,77,100,5.21,TK,1722903093
156,yuxi,24.355,102.5422,18.83,95,72,0.8,CN,1722903095
157,westport,41.1415,-73.3579,27.03,76,0,4.12,US,1722903096
158,boca suno,-0.7167,-77.1333,23.06,87,51,0.19,EC,1722903097
159,kenai,60.5544,-151.2583,17.03,65,100,0.0,US,1722903098
160,hamilton,39.1834,-84.5333,31.72,58,0,3.13,US,1722902668
161,lihue,21.9789,-159.3672,28.77,64,20,5.66,US,1722903100
162,balaklava,44.5,33.6,21.88,59,87,3.11,UA,1722903101
163,miles city,46.4083,-105.8406,25.54,53,0,5.66,US,1722903102
164,lebu,-37.6167,-73.65,7.44,86,52,2.48,CL,1722903103
165,ambalangoda,6.2355,80.0538,27.77,85,87,3.48,LK,1722903104
166,constantia,44.1833,28.65,19.38,61,26,4.22,RO,1722903105
167,bikenibeu village,1.3673,173.1241,31.98,66,20,4.12,KI,1722903106
168,mount gambier,-37.8333,140.7667,9.77,87,88,3.83,AU,1722903107
169,coquimbo,-29.9533,-71.3436,12.21,73,0,1.03,CL,1722902657
170,carnarvon,-24.8667,113.6333,16.95,62,1,2.21,AU,1722903109
171,isabel segunda,18.1491,-65.4427,30.49,79,2,9.17,PR,1722903110
172,ta`u,-14.2336,-169.5144,25.95,71,30,1.91,AS,1722903111
173,zaltan,32.947,11.8665,24.26,87,0,1.7,LY,1722903112
174,shubarshi,48.5872,57.1869,24.93,32,36,2.46,KZ,1722903113
175,pangody,65.85,74.4859,7.99,69,3,5.85,RU,1722903114
176,svetlyy,54.675,20.1347,19.03,94,18,3.25,RU,1722903115
177,rio grande,-32.035,-52.0986,17.06,95,76,6.98,BR,1722903117
178,sinabang,2.4803,96.3801,25.66,81,96,0.51,ID,1722903118
179,san carlos,9.6612,-68.5827,23.82,96,80,0.22,VE,1722902938
180,rabo de peixe,37.8,-25.5833,23.73,88,40,2.06,PT,1722903120
181,sitka,57.0531,-135.33,17.94,77,20,3.09,US,1722903121
182,kodiak,57.79,-152.4072,12.73,94,100,7.72,US,1722902832
183,yuli,9.6989,10.2744,22.48,96,100,1.85,NG,1722903123
184,guerrero negro,27.9769,-114.0611,24.42,66,90,6.95,MX,1722903124
185,orapa,-21.2833,25.3667,15.05,23,0,5.29,BW,1722903125
186,sri dungargarh,28.0833,74.0167,27.89,82,21,5.71,IN,1722902893
187,luanda,-8.8368,13.2343,19.52,92,62,2.83,AO,1722903014
188,hawaiian paradise park,19.5933,-154.9731,27.73,73,0,5.14,US,1722903128
189,mana,5.6592,-53.7767,26.87,81,2,5.32,GF,1722903129
190,lamas,-6.4167,-76.5333,22.92,86,47,1.16,PE,1722903130
191,yugorsk,61.3133,63.3319,13.74,96,100,4.17,RU,1722903131
192,luderitz,-26.6481,15.1594,13.88,52,0,4.96,NA,1722903132
193,weno,7.4515,151.8468,28.97,84,100,3.09,FM,1722903133
194,al kharijah,25.4514,30.5464,31.57,19,39,3.91,EG,1722903134
195,klyuchi,52.2667,79.1667,18.11,66,58,2.68,RU,1722903135
